initialRelayScenario,sensorScenario,NmbrofSensors,Algorithm,smin,fmin,NmbrofFcal,RunTime
Uniformly Distributed,Clustered - Centre,3,Log Barrier,"(0.15,0.18)",1.12316596884695,0,0.072
Uniformly Distributed,Clustered - Centre,6,Monte Carlo,"(0.45,0.5)",0.445348387068366,100,0.4948
Uniformly Distributed,Clustered - Centre,6,l2,"(0.48,0.42)",0.397897831487673,126,32.7639
Uniformly Distributed,Clustered - Centre,6,Nelder-Mead Simplex,"(0.48,0.42)",0.397444954423736,104,2.1764
Uniformly Distributed,Clustered - Centre,6,Log Barrier,"(0.15,0.18)",1.62747276425866,0,0.1289
Uniformly Distributed,Clustered - Centre,12,Monte Carlo,"(0.5,0.47)",0.74082570810921,100,0.7728
Uniformly Distributed,Clustered - Centre,12,l2,"(0.49,0.51)",0.714504187474748,88,24.3658
Uniformly Distributed,Clustered - Centre,12,Nelder-Mead Simplex,"(0.49,0.51)",0.714504201583177,79,1.4614
Uniformly Distributed,Clustered - Centre,12,Log Barrier,"(0.15,0.18)",3.94146921919504,0,0.3073
Uniformly Distributed,Clustered - Centre,24,Monte Carlo,"(0.54,0.41)",1.62175169594061,100,0.8155
Uniformly Distributed,Clustered - Centre,24,l2,"(0.5,0.49)",1.39559997442729,148,49.0476
Uniformly Distributed,Clustered - Centre,24,Nelder-Mead Simplex,"(0.5,0.49)",1.39560000786864,67,1.1789
Uniformly Distributed,Clustered - Centre,24,Log Barrier,"(0.15,0.18)",6.98822499056244,0,0.1759
Uniformly Distributed,Clustered - Centre,48,Monte Carlo,"(0.48,0.48)",2.76447626044177,100,0.8864
Uniformly Distributed,Clustered - Centre,48,l2,"(0.49,0.49)",2.73992919205,210,89.3466
Uniformly Distributed,Clustered - Centre,48,Nelder-Mead Simplex,"(0.49,0.5)",2.73621853328598,102,3.1993
Uniformly Distributed,Clustered - Centre,48,Log Barrier,"(0.15,0.18)",13.582307094295,0,0.5441
Uniformly Distributed,Clustered - Centre,96,Monte Carlo,"(0.49,0.48)",6.23678729069172,100,1.6718
Uniformly Distributed,Clustered - Centre,96,l2,"(0.46,0.49)",6.09744505309856,232,128.7635
Uniformly Distributed,Clustered - Centre,96,Nelder-Mead Simplex,"(0.46,0.49)",6.09744515702586,79,2.3016
